product_id,product_name,family_name,group_name,is_process
664,Solenoid / Solenoid valve,Electrical / Electronic parts,Electrical parts,false
746,Seat frame,Interior parts,Seat,false
660,Carbon brush,Electrical / Electronic parts,Electrical parts,false
997,Washer tank,Body parts,Window washer,false
677,Various Electrical / Electronic parts,Electrical / Electronic parts,Various Electrical / Electronic parts,false
220,Oil pan,ICE Powertrain,Engine structural parts,false
411,Clutch assembly,ICE Powertrain,Clutch,false
344,Oil cooler,ICE Powertrain,Engine lubrication components,false
1035,Bellows,General parts,Bush / Seal,false
413,Clutch cover,ICE Powertrain,Clutch,false
162,Lithium-ion battery electrolyte,Electric Powertrain,Lithium-ion battery,false
818,Weatherstrip,Exterior parts,Exterior parts,false
838,Brake disc,Chassis parts,Brake,false
1020,Valve,General parts,Component parts,false
184,BMS (Battery Management System),Electric Powertrain,Battery related parts,false
297,Air cleaner,ICE Powertrain,Air intake and exhaust systems,false
741,Seat,Interior parts,Seat,false
951,Body reinforcement parts,Body parts,Body reinforcement and protector,false
665,Various actuators,Electrical / Electronic parts,Electrical parts,false
842,Brake booster,Chassis parts,Brake,false
666,Fuse / Circuit braker,Electrical / Electronic parts,Electrical parts,false
1008,Fastener,General parts,Fastener / Connector,false
423,Shift fork,ICE Powertrain,Transmission parts,false
161,Lithium-ion battery separator,Electric Powertrain,Lithium-ion battery,false
1079,Various plastic molding,"Process type (Stamping, Plastic injection molding etc.)",Plastic molding,true
160,Anode materials / plates for lithium-ion battery,Electric Powertrain,Lithium-ion battery,false
283,Fuel filter,ICE Powertrain,Fuel supply system,false
747,Seat adjustor,Interior parts,Seat,false
1025,Hose,General parts,Pipe / Hose,false
835,Brake shoe,Chassis parts,Brake,false
683,Air conditioner evaporator,Climate Control,Air conditioner,false
1059,Various casting,"Process type (Stamping, Plastic injection molding etc.)",Casting,true
865,Steering wheel,Chassis parts,Steering,false
991,Wiper,Body parts,Wiper,false
854,Electric Parking Brake (EPB),Chassis parts,Sub-brake,false
920,Electronic controlled shock absorber,Chassis parts,Suspension,false
843,Vacuum pump,Chassis parts,Brake,false
732,Airbag module,Interior parts,Airbag,false
578,Various instrument switches,Electrical / Electronic parts,Interior switch,false
